configuration_index,lowpass_hz,training_lfp_rms_uv,degree,n_delays,delay_samples,delay_ms,embedding_span_ms,smooth_window_samples,smooth_window_ms,derivative_method,nonzero_terms,possible_terms,term_utilization_percent,fit_runtime_s,simulation_attempts,completed_simulations,failed_simulations,completion_fraction,all_held_out_completed,failure_reasons,figure_exists
124,80.0,37.49490932254601,1,4,5,20.0,60.0,0,0.0,finite_difference,19,20,95.0,0.15372433699667454,9,9,0,1.0,True,,True
125,80.0,37.49490932254601,1,4,5,20.0,60.0,5,20.0,smoothed_finite_difference_savgol_order_3,19,20,95.0,0.16246317513287067,9,9,0,1.0,True,,True
126,80.0,37.49490932254601,1,4,5,20.0,60.0,9,36.0,smoothed_finite_difference_savgol_order_3,17,20,85.0,0.16229506023228168,9,9,0,1.0,True,,True
127,80.0,37.49490932254601,1,6,1,4.0,20.0,0,0.0,finite_difference,35,42,83.33333333333333,0.264356167986989,9,9,0,1.0,True,,True
128,80.0,37.49490932254601,1,6,1,4.0,20.0,5,20.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.2772693485021591,9,9,0,1.0,True,,True
129,80.0,37.49490932254601,1,6,1,4.0,20.0,9,36.0,smoothed_finite_difference_savgol_order_3,39,42,92.85714285714286,0.291197931393981,9,9,0,1.0,True,,True
130,80.0,37.49490932254601,1,6,2,8.0,40.0,0,0.0,finite_difference,39,42,92.85714285714286,0.27469208277761936,9,9,0,1.0,True,,True
131,80.0,37.49490932254601,1,6,2,8.0,40.0,5,20.0,smoothed_finite_difference_savgol_order_3,39,42,92.85714285714286,0.28574711456894875,9,9,0,1.0,True,,True
132,80.0,37.49490932254601,1,6,2,8.0,40.0,9,36.0,smoothed_finite_difference_savgol_order_3,36,42,85.71428571428571,0.2770956940948963,9,9,0,1.0,True,,True
133,80.0,37.49490932254601,1,6,5,20.0,100.0,0,0.0,finite_difference,38,42,90.47619047619048,0.2666625026613474,9,9,0,1.0,True,,True
134,80.0,37.49490932254601,1,6,5,20.0,100.0,5,20.0,smoothed_finite_difference_savgol_order_3,38,42,90.47619047619048,0.28103614039719105,9,9,0,1.0,True,,True
135,80.0,37.49490932254601,1,6,5,20.0,100.0,9,36.0,smoothed_finite_difference_savgol_order_3,40,42,95.23809523809524,0.28901503421366215,9,9,0,1.0,True,,True
136,80.0,37.49490932254601,1,8,1,4.0,28.0,0,0.0,finite_difference,67,72,93.05555555555556,0.43834914080798626,9,9,0,1.0,True,,True
137,80.0,37.49490932254601,1,8,1,4.0,28.0,5,20.0,smoothed_finite_difference_savgol_order_3,68,72,94.44444444444444,0.4561873469501734,9,9,0,1.0,True,,True
138,80.0,37.49490932254601,1,8,1,4.0,28.0,9,36.0,smoothed_finite_difference_savgol_order_3,66,72,91.66666666666667,0.4426737930625677,9,9,0,1.0,True,,True
139,80.0,37.49490932254601,1,8,2,8.0,56.0,0,0.0,finite_difference,68,72,94.44444444444444,0.4397307801991701,9,9,0,1.0,True,,True
140,80.0,37.49490932254601,1,8,2,8.0,56.0,5,20.0,smoothed_finite_difference_savgol_order_3,66,72,91.66666666666667,0.45251113548874855,9,9,0,1.0,True,,False
141,80.0,37.49490932254601,1,8,2,8.0,56.0,9,36.0,smoothed_finite_difference_savgol_order_3,65,72,90.27777777777777,0.44311551563441753,9,9,0,1.0,True,,False
142,80.0,37.49490932254601,1,8,5,20.0,140.0,0,0.0,finite_difference,64,72,88.88888888888889,0.41652154363691807,9,9,0,1.0,True,,True
143,80.0,37.49490932254601,1,8,5,20.0,140.0,5,20.0,smoothed_finite_difference_savgol_order_3,64,72,88.88888888888889,0.43308787047863007,9,9,0,1.0,True,,True
144,80.0,37.49490932254601,1,8,5,20.0,140.0,9,36.0,smoothed_finite_difference_savgol_order_3,66,72,91.66666666666667,0.43746465630829334,9,9,0,1.0,True,,True
145,80.0,37.49490932254601,2,2,1,4.0,4.0,0,0.0,finite_difference,12,12,100.0,0.6574100349098444,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
146,80.0,37.49490932254601,2,2,1,4.0,4.0,5,20.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13511808030307293,9,7,2,0.7777777777777778,False,integration error: model derivative became non-finite,True
147,80.0,37.49490932254601,2,2,1,4.0,4.0,9,36.0,smoothed_finite_difference_savgol_order_3,12,12,100.0,0.13039055094122887,9,9,0,1.0,True,,True
148,80.0,37.49490932254601,2,2,2,8.0,8.0,0,0.0,finite_difference,12,12,100.0,0.11677735112607479,9,8,1,0.8888888888888888,False,integration error: model derivative became non-finite,True
