configuration_index,degree,lowpass_hz,n_delays,delay_samples,smooth_window_samples,alpha,threshold,max_iter,trial_id,completed,failure_reason,reached_horizon_s,trajectory_rmse,x0_correlation,max_amplitude_ratio,collapse_std_ratio,psd_similarity,distribution_ks
47,3,35.0,4,1,5,0.0,1.0,150,778,True,,2.0,1.2572134013826477,0.0117234595953702,0.8304450163821362,1.179108245252284,0.5114596103111281,0.1497005988023952
47,3,35.0,4,1,5,0.05,1.0,20,312,True,,2.0,1.020920374613972,0.0122184400746415,0.4755394474539826,0.6390708345979804,0.2290533280869483,0.1117764471057884
47,3,35.0,4,1,5,0.05,1.0,150,312,True,,2.0,1.020920374613972,0.0122184400746415,0.4755394474539826,0.6390708345979804,0.2290533280869483,0.1117764471057884
47,3,35.0,4,1,5,0.0,1.0,20,312,True,,2.0,1.0317771902170108,0.0092835205493074,0.4953063910823398,0.651864213901222,0.2290198052784662,0.0938123752495009
47,3,35.0,4,1,5,0.0,1.0,150,312,True,,2.0,1.0317771902170108,0.0092835205493074,0.4953063910823398,0.651864213901222,0.2290198052784662,0.0938123752495009
49,3,35.0,4,2,0,0.05,1.0,20,4,True,,2.0,0.7691015205270967,0.0254546482884048,0.451276520003975,0.7384794830964454,0.1306252633539866,0.1097804391217564
49,3,35.0,4,2,0,0.05,1.0,150,4,True,,2.0,0.7691015205270967,0.0254546482884048,0.451276520003975,0.7384794830964454,0.1306252633539866,0.1097804391217564
49,3,35.0,4,2,0,0.0,1.0,20,4,True,,2.0,0.7742503947970436,0.0710564413772685,0.5451852481366153,0.8195401856943295,0.1459559047161749,0.1137724550898203
49,3,35.0,4,2,0,0.0,1.0,150,4,True,,2.0,0.7742503947970436,0.0710564413772685,0.5451852481366153,0.8195401856943295,0.1459559047161749,0.1137724550898203
49,3,35.0,4,2,0,0.05,1.0,20,1088,True,,2.0,1.6729516209363628,-0.0467465211450431,0.6533148769399516,0.996843382183952,0.1780436744988926,0.1477045908183632
49,3,35.0,4,2,0,0.05,1.0,150,1088,True,,2.0,1.6729516209363628,-0.0467465211450431,0.6533148769399516,0.996843382183952,0.1780436744988926,0.1477045908183632
49,3,35.0,4,2,0,0.0,1.0,20,1088,True,,2.0,1.6705938441488917,-0.064075410786674,0.6640486913831037,0.993925841141904,0.1804860550761294,0.1177644710578842
49,3,35.0,4,2,0,0.0,1.0,150,1088,True,,2.0,1.6705938441488917,-0.064075410786674,0.6640486913831037,0.993925841141904,0.1804860550761294,0.1177644710578842
49,3,35.0,4,2,0,0.05,1.0,20,622,True,,2.0,1.432167120339239,-0.0235036341315109,0.7142821244793958,1.0433548383536149,0.0369645191711204,0.1516966067864271
49,3,35.0,4,2,0,0.05,1.0,150,622,True,,2.0,1.432167120339239,-0.0235036341315109,0.7142821244793958,1.0433548383536149,0.0369645191711204,0.1516966067864271
49,3,35.0,4,2,0,0.0,1.0,20,622,True,,2.0,1.414942068302782,0.0049683377247428,0.7695140932506449,1.0886057842805656,0.0318948555746974,0.1457085828343313
49,3,35.0,4,2,0,0.0,1.0,150,622,True,,2.0,1.414942068302782,0.0049683377247428,0.7695140932506449,1.0886057842805656,0.0318948555746974,0.1457085828343313
49,3,35.0,4,2,0,0.05,1.0,20,620,True,,2.0,0.9734588333881844,0.12892645358187,0.3154085756386766,0.407285637621064,0.1075294229460443,0.3273453093812375
49,3,35.0,4,2,0,0.05,1.0,150,620,True,,2.0,0.9734588333881844,0.12892645358187,0.3154085756386766,0.407285637621064,0.1075294229460443,0.3273453093812375
49,3,35.0,4,2,0,0.0,1.0,20,620,True,,2.0,0.9916809228987672,0.1020860499291432,0.3435717817450141,0.436198284796618,0.1148144423987403,0.3233532934131736
49,3,35.0,4,2,0,0.0,1.0,150,620,True,,2.0,0.9916809228987672,0.1020860499291432,0.3435717817450141,0.436198284796618,0.1148144423987403,0.3233532934131736
49,3,35.0,4,2,0,0.05,1.0,20,2,True,,2.0,1.6358044586450262,-0.0756425920306068,0.7901727692124144,0.8598214600810572,0.0118315573265977,0.0778443113772455
49,3,35.0,4,2,0,0.05,1.0,150,2,True,,2.0,1.6358044586450262,-0.0756425920306068,0.7901727692124144,0.8598214600810572,0.0118315573265977,0.0778443113772455
49,3,35.0,4,2,0,0.0,1.0,20,2,True,,2.0,1.609917348281206,-0.0330947904161728,0.8501426413414811,0.900932050714042,0.0108086869288504,0.06187624750499
